# Time-averaged data for fix 1
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
0 50
42 8.3 1.02045 135.777
43 8.5 0.989745 145.646
44 8.7 1.00736 156.168
45 8.9 0.991845 167.011
46 9.1 0.9907 178.333
47 9.3 0.989452 190.143
48 9.5 0.987545 202.443
49 9.7 0.993857 215.348
50 9.9 0.995481 228.812
700 50
1 0.1 0 0
2 0.3 0 0
3 0.5 0 0
4 0.7 0.0218192 0.00142755
5 0.9 3.58658 0.388294
6 1.1 1.65898 0.655246
7 1.3 2.04053 1.11349
8 1.5 0.625786 1.3005
9 1.7 0.479923 1.48465
10 1.9 0.670278 1.80585
11 2.1 0.36829 2.02141
12 2.3 0.469746 2.35118
13 2.5 0.51124 2.77516
14 2.7 0.495899 3.25482
15 2.9 0.436281 3.74161
16 3.1 0.684144 4.61385
17 3.3 1.01285 6.07709
18 3.5 1.14904 7.94433
19 3.7 1.23809 10.1927
20 3.9 1.28561 12.7866
21 4.1 1.20104 15.4647
22 4.3 1.14258 18.267
23 4.5 1.13948 21.3276
24 4.7 1.08405 24.5039
25 4.9 1.03637 27.8044
26 5.1 0.97945 31.1834
27 5.3 0.950996 34.7266
28 5.5 0.943584 38.5125
29 5.7 0.935846 42.5453
30 5.9 0.918314 46.7852
31 6.1 0.950204 51.4747
32 6.3 0.958632 56.5211
33 6.5 0.973921 61.9786
34 6.7 0.993135 67.8915
35 6.9 1.00648 74.247
36 7.1 1.02254 81.0835
37 7.3 1.02404 88.3212
38 7.5 1.02163 95.9429
39 7.7 1.03751 104.101
40 7.9 1.00013 112.38
41 8.1 1.0214 121.268
42 8.3 1.0223 130.608
43 8.5 1.01275 140.313
44 8.7 0.972557 150.076
45 8.9 1.00109 160.592
46 9.1 0.973818 171.288
47 9.3 0.981294 182.544
48 9.5 1.00839 194.614
49 9.7 0.998358 207.072
50 9.9 0.991596 219.961
800 50
1 0.1 0 0
2 0.3 0 0
3 0.5 0 0
4 0.7 0 0
5 0.9 3.57696 0.372591
6 1.1 1.83735 0.658101
7 1.3 2.21176 1.13776
8 1.5 0.583712 1.30621
9 1.7 0.535499 1.50464
10 1.9 0.681752 1.82013
11 2.1 0.386426 2.03854
12 2.3 0.482223 2.36545
13 2.5 0.543664 2.80086
14 2.7 0.476838 3.24625
15 2.9 0.430584 3.71021
16 3.1 0.539164 4.37402
17 3.3 0.928087 5.66881
18 3.5 1.13437 7.44897
19 3.7 1.20067 9.5546
20 3.9 1.26462 12.0186
21 4.1 1.29012 14.7966
22 4.3 1.16449 17.5546
23 4.5 1.14144 20.5153
24 4.7 1.11449 23.6688
25 4.9 1.06344 26.9393
26 5.1 0.984682 30.2198
27 5.3 0.946693 33.626
28 5.5 0.939527 37.2662
29 5.7 0.93925 41.1749
30 5.9 0.949339 45.4076
