# Time-averaged data for fix myat3
# TimeStep v_mydensity
23400 0.0298904
23500 0.0298425
23600 0.0298004
23700 0.0297683
23800 0.0297433
23900 0.029725
24000 0.0297114
24100 0.0296967
24200 0.0296794
24300 0.0296614
24400 0.0296356
24500 0.0296088
24600 0.0295839
24700 0.0295664
24800 0.0295642
24900 0.029579
25000 0.0296066
25100 0.0296339
25200 0.0296637
25300 0.0296955
25400 0.0297247
25500 0.0297557
25600 0.0297893
25700 0.0298285
25800 0.0298778
25900 0.0299364
26000 0.0300025
26100 0.0300775
26200 0.030156
26300 0.0302311
26400 0.0303013
26500 0.0303601
26600 0.0304114
26700 0.0304563
26800 0.0304871
26900 0.0305071
27000 0.0305182
27100 0.0305145
27200 0.0304934
27300 0.0304621
27400 0.0304301
27500 0.0303999
27600 0.0303692
27700 0.0303398
27800 0.0303111
27900 0.0302841
28000 0.0302537
28100 0.0302203
28200 0.0301853
28300 0.0301477
28400 0.0300985
28500 0.030041
28600 0.0299844
28700 0.0299338
28800 0.0298902
28900 0.0298531
29000 0.0298256
29100 0.0297996
29200 0.0297755
29300 0.0297576
29400 0.0297363
29500 0.0297098
29600 0.0296777
29700 0.0296451
29800 0.0296178
29900 0.0296026
30000 0.029602
30100 0.0296112
30200 0.0296223
30300 0.0296395
30400 0.0296655
30500 0.0296977
30600 0.0297339
30700 0.0297713
30800 0.0298082
30900 0.0298437
31000 0.0298716
31100 0.0298846
31200 0.0298881
31300 0.0298821
31400 0.0298717
31500 0.029864
31600 0.0298663
31700 0.0298778
31800 0.0298923
31900 0.0299093
32000 0.0299244
32100 0.0299353
32200 0.0299364
32300 0.0299323
32400 0.0299279
32500 0.0299255
32600 0.0299296
32700 0.0299439
32800 0.0299602
32900 0.0299723
33000 0.0299745
33100 0.0299627
33200 0.02994
33300 0.0299119
33400 0.0298858
33500 0.0298673
33600 0.0298535
33700 0.0298485
33800 0.0298524
33900 0.0298635
34000 0.0298803
34100 0.0299023
34200 0.0299238
34300 0.0299378
34400 0.0299426
34500 0.0299418
34600 0.0299409
34700 0.0299389
34800 0.0299317
34900 0.0299167
35000 0.0298916
35100 0.029863
35200 0.0298324
35300 0.0298014
35400 0.0297749
35500 0.0297557
35600 0.0297406
35700 0.0297219
35800 0.0296984
35900 0.0296724
36000 0.0296437
36100 0.0296121
36200 0.0295816
36300 0.0295534
36400 0.0295314
36500 0.0295207
36600 0.0295192
36700 0.0295246
36800 0.0295319
36900 0.0295428
37000 0.0295633
37100 0.0295885
37200 0.0296164
37300 0.0296505
37400 0.0296831
37500 0.0297168
37600 0.0297529
37700 0.0297947
37800 0.0298475
37900 0.0299053
38000 0.029966
38100 0.0300279
38200 0.0300852
38300 0.0301372
38400 0.0301838
38500 0.0302254
38600 0.0302551
38700 0.030271
38800 0.0302805
38900 0.0302909
39000 0.0303044
39100 0.0303245
39200 0.0303477
39300 0.0303721
39400 0.0303911
39500 0.0303941
39600 0.0303788
39700 0.0303506
39800 0.0303121
39900 0.0302665
40000 0.0302198
